generic_name,drug_class,risk_level,deprescribing_recommendation,total_claims,total_cost,elderly_patients
gabapentin,anticonvulsant/neuropathic pain agent,Moderate-High,"Review renal function, reassess ongoing need, reduce dose if renal impairment exists, and avoid unnecessary combination with CNS depressants.",21547858,313921043.18,2853232
apixaban,doac anticoagulant,Moderate-High,Use cautiously in elderly with regular renal function and bleeding risk assessment; review dose appropriateness and avoid unnecessary prolonged therapy.,13960741,11574901663.0,1296513
hydrocodone/acetaminophen,opioid analgesic,Moderate-High,"Reassess pain indication and opioid burden; prioritize safer analgesics where appropriate, avoid duplicate acetaminophen exposure, taper gradually if chronic use, and monitor sedation and liver function.",11088600,231216392.89,2081941
tramadol hcl,opioid analgesic,Moderate-High,"Avoid prolonged use in older adults when possible; reassess pain control, taper gradually to prevent withdrawal, monitor for CNS adverse effects and drug interactions.",6430770,52571264.84,950974
alprazolam,benzodiazepine,High,Avoid routine use in elderly; consider gradual taper. Prefer non-pharmacologic anxiety management or safer alternatives depending on indication.,6389990,37546789.03,504339
meloxicam,nsaid,High,"Reassess chronic need regularly; avoid long-term use where possible, monitor renal function and blood pressure, and use the lowest effective dose for the shortest duration.",5652599,24427202.09,944918
oxycodone hcl/acetaminophen,opioid analgesic,Moderate-High,"Evaluate ongoing opioid need and total acetaminophen exposure; use safer pain management options when possible, taper gradually, and monitor sedation, liver function, and pain control.",4362353,149592166.08,750182
quetiapine fumarate,atypical antipsychotic,Moderate-High,"Reassess need, especially if used off-label for insomnia/anxiety. Gradual taper recommended. Keep lowest effective dose if psychosis/Parkinson�s psychosis indication exists.",4339344,75906043.06,276993
zolpidem tartrate,non-benzodiazepine hypnotic,High,"Avoid long-term use in older adults; gradually taper if chronic use, prioritize nonpharmacologic sleep interventions (sleep hygiene/CBT-I), reassess ongoing need, and avoid combination with other sedatives where possible.",4112116,33134960.68,325113
clonazepam,benzodiazepine,High,"Reassess chronic use; taper gradually if discontinuing. Use only when benefit outweighs risk (e.g., seizure disorders).",4053176,31624011.43,218072
oxycodone hcl,opioid analgesic,Moderate-High,"Use lowest effective dose for shortest duration; reassess pain control regularly, consider non-opioid alternatives, taper slowly if long-term therapy, and monitor renal function and sedation.",3932588,188336664.23,709448
"insulin glargine,hum.rec.anlog",hypoglycemic hormone,Moderate-High,"Use cautiously; individualize dose, monitor glucose closely, and simplify regimen if recurrent hypoglycemia occurs.",3914285,915433027.3,266807
lorazepam,benzodiazepine,Moderate-High,Use lowest effective dose for shortest duration; reassess need regularly.,3734073,31048032.01,327164
rivaroxaban,doac anticoagulant,Moderate-High,"Use cautiously with periodic reassessment of bleeding risk, renal/hepatic function, and treatment duration; avoid inappropriate long-term use.",3573429,3238136807.73,307149
glipizide,sulfonylurea,High,"Reassess necessity and glycemic goals in older adults; consider switching to lower hypoglycemia-risk alternatives when appropriate, reduce dose if recurrent hypoglycemia occurs, and monitor blood glucose closely.",3538842,41603188.46,308400
pregabalin,anticonvulsant/neuropathic pain agent,Moderate-High,Dose adjustment based on renal function; reassess benefit vs sedation,3388420,93795362.73,335894
diclofenac sodium,nsaid,High,"Avoid chronic systemic use in older adults, especially in cardiovascular disease or CKD; consider topical diclofenac for localized pain, reassess ongoing need, and use lowest effective dose if necessary.",2825816,178670678.48,507757
warfarin sodium,vitamin k antagonist anticoagulant,Moderate-High,"Monitor INR closely, review interacting medications, assess bleeding risk, and consider DOAC alternatives when clinically appropriate.",2660154,24417019.84,204829
celecoxib,nsaid,High,"Avoid long-term use in older adults unless clearly indicated; use lowest effective dose for shortest duration, assess renal/GI/cardiovascular risk, consider gastroprotection, and prefer safer alternatives (e.g., acetaminophen or topical therapy where appropriate).",2523714,72181086.92,360270
oxybutynin chloride,antimuscarinic bladder agent,High,Consider safer bladder alternatives; reassess anticholinergic burden,2329840,47035663.43,154418
