provider_specialty,high_risk_drug_count,total_highrisk_claims,total_cost,elderly_patients
Family Practice,37,31944837,3583476143.42,2508925
Internal Medicine,37,28800675,3979570279.32,2754916
Nurse Practitioner,37,24107555,3045344277.56,2551774
Physician Assistant,37,8943467,1065622698.99,1424308
Psychiatry,37,4268822,98064329.96,328346
Cardiology,37,4071647,3721622548.93,428902
General Practice,37,2501035,184372525.29,264524
Orthopedic Surgery,34,2440741,29748296.92,805954
Pain Management,35,2353599,61988398.39,459093
Physical Medicine and Rehabilitation,37,2280499,72023887.21,368463
Neurology,35,2086883,58746334.74,248822
Anesthesiology,36,2006974,56787439.68,372170
Interventional Pain Management,36,1756157,50646682.58,319965
Endocrinology,37,1707119,528463064.9,212221
Rheumatology,37,1190189,29271062.93,139351
Geriatric Medicine,37,974709,141359451.68,102381
Interventional Cardiology,33,800445,753207455.21,84848
Ophthalmology,33,771398,15509764.41,353529
Emergency Medicine,37,746289,48438738.24,265618
Urology,34,699629,18069541.8,161002
